Row Labels,Amphibians,Arachnids,Birds,Clams,Conifers and Cycads,Crustaceans,Ferns and Allies,Fishes,Flowering Plants,Insects,Lichens,Mammals,Reptiles,Snails,Grand Total
Alabama,3,0,5,63,0,2,3,16,22,1,0,6,10,13,144
Alaska,0,0,4,0,0,0,1,0,0,0,0,3,0,0,8
Arizona,2,0,9,0,0,0,0,20,26,0,0,10,6,2,75
Arkansas,1,0,5,13,0,2,0,4,5,1,0,4,1,0,36
California,15,0,16,0,3,8,0,19,172,25,0,24,9,1,292
Colorado,0,0,7,0,0,0,0,5,17,3,0,5,0,0,37
Connecticut,0,0,3,1,0,0,0,0,2,1,0,2,3,0,12
Delaware,0,0,3,1,0,0,0,0,5,0,0,2,3,0,14
District of Columbia,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3
Floria,2,0,13,15,1,2,1,1,64,5,1,17,11,1,134
Georgia,2,0,6,18,1,0,3,8,25,0,1,4,6,2,76
Hawaii,0,1,24,0,0,3,23,0,402,28,0,1,4,4,490
Idaho,0,0,2,0,1,0,0,2,4,0,0,5,0,4,18
illinois,0,0,3,13,0,1,0,1,7,3,0,3,1,1,33
Indiana,0,0,4,13,0,0,0,0,6,3,0,3,2,0,31
Iowa,0,0,3,3,0,0,0,2,5,1,0,2,1,1,18
Kansas,0,0,3,3,0,0,0,6,2,1,0,3,0,0,18
Kentucky,0,0,2,28,0,2,0,7,9,0,0,4,0,0,52
Louisiana,0,0,7,5,0,0,1,2,2,0,0,2,7,0,26
Maine,0,0,3,0,0,0,0,1,3,1,0,2,2,0,12
Maryland,0,0,3,2,0,1,0,1,8,3,0,3,5,0,26
Massachusetts,0,0,3,1,0,0,0,0,5,4,0,1,4,0,18
Michigan,0,0,3,5,0,0,1,0,6,5,0,4,2,0,26
Minnesota,0,0,3,5,0,0,0,1,5,3,0,3,1,0,21
Mississippi,1,0,6,19,0,0,1,4,5,1,0,4,10,0,51
Missouri,2,0,2,13,0,3,0,7,8,2,0,4,0,1,42
Montana,0,0,4,0,1,0,0,3,2,2,0,6,0,0,18
Nebraska,0,0,4,2,0,0,0,2,3,2,0,1,0,0,14
Nevada,2,0,4,0,1,0,0,25,11,3,0,2,1,1,50
New Hamsphere,0,0,3,1,0,0,0,0,3,1,0,2,2,0,12
New Jersey,0,0,3,1,0,0,0,0,6,1,0,3,3,0,17
New Mexico,2,0,6,1,0,2,1,15,16,2,0,7,3,6,61
New York,0,0,4,6,0,0,1,0,7,2,0,2,4,1,27
North Carolina,1,1,7,9,0,0,0,5,26,1,1,8,7,2,68
North Dakota,0,0,3,0,0,0,0,1,1,1,0,1,0,0,7
Ohio,0,0,3,12,0,0,0,0,5,4,0,2,2,0,28
Oklahoma,0,0,4,6,0,0,0,5,1,1,0,4,1,0,22
Oregon,1,0,7,0,1,2,0,7,16,4,0,4,4,1,47
Pennsylvania,0,0,2,9,0,0,0,0,5,0,0,2,2,0,20
Rhode Island,0,0,3,0,0,0,0,0,2,1,0,1,2,0,9
South Carolina,1,0,6,3,0,0,0,0,21,0,1,2,5,0,39
South Dakota,0,0,3,2,0,0,0,2,3,2,0,3,0,0,15
Tennessee,0,1,4,61,0,1,1,33,19,0,1,5,1,4,131
Texas,8,9,14,1,0,3,0,14,35,9,0,6,7,5,111
Utah,0,0,5,0,0,0,0,10,25,1,0,4,1,0,46
Vermont,0,0,0,1,0,0,0,0,2,0,0,3,0,0,6
Virginia,1,1,4,26,0,3,0,9,17,3,1,6,5,1,77
Washington,1,0,7,0,1,0,0,1,8,2,0,11,1,0,32
West Virginia,1,0,1,13,0,3,0,2,6,1,0,4,0,1,32
Wisconsin,0,0,3,5,0,0,0,0,7,5,0,3,1,1,25
Wyoming,1,0,3,0,1,0,0,1,4,1,0,6,0,0,17
Grand Total,47,13,249,381,11,39,37,242,1066,140,6,220,140,53,2644
